Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake,percent,Duration of Stay (in days),monthIntake,monthOutcome
A700968,600 W. 26Th in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,183,182,2.272727272727273,1,4,4
A700959,9300 Northgate Apt 219 in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,1312,1095,0.1371742112482853,217,4,11
A678904,Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Australian Shepherd,Black/White,Spayed Female,positive,56,0,0.1371742112482853,56,5,7
A758652,Creek Bend Drive And Dove Springs Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,Catahoula/Harrier,Tan/White,Neutered Male,positive,816,816,0.1371742112482853,0,12,12
A707658,6118 Fairway in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,65,30,0.1371742112482853,35,7,8
A743182,7001 S. Congress Ave in Austin (TX),Stray,Normal,Dog,Intact Male,Standard Poodle,Black,Intact Male,positive,616,615,0.1371742112482853,1,2,2
A703247,6005 Signal Point in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Intact Female,positive,792,791,0.1371742112482853,1,5,5
A708496,824 Fairfield Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,844,730,0.1371742112482853,114,7,11
A671822,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,German Shepherd Mix,Black/Tan,Neutered Male,positive,3906,3717,0.6369426751592357,189,4,10
A808644,5810 Burleson Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Catahoula,Brown/White,Spayed Female,positive,744,730,0.1371742112482853,14,11,11
A690567,9702 Swansons Ranch Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,positive,22,22,0.1371742112482853,0,10,10
A755042,11908 Anderson Mil in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,125,122,0.1371742112482853,3,7,7
A730332,7709 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever Mix,White,Neutered Male,positive,1495,1408,0.1371742112482853,87,7,9
A783157,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,Miniature Schnauzer/Yorkshire Terrier,Tan,Neutered Male,positive,72,0,0.6369426751592357,72,10,1
A670631,N Lamar And Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Female,Chinese Sharpei,Tan,Intact Female,negative,372,365,0.1371742112482853,7,1,1
A702183,5006 Acorn Grove Ct in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown,Spayed Female,positive,746,730,0.1371742112482853,16,5,5
A775479,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Dachshund Mix,Black/White,Spayed Female,positive,1096,1094,1.7857142857142856,2,7,7
A782719,Palmer Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,positive,2927,2837,0.1371742112482853,90,10,1
A753083,12418 Fitzhugh in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Intact Male,positive,55,45,0.1371742112482853,10,7,7
A718738,Quarter Horse And Tanglebriar Trail in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Yellow,Intact Female,negative,4394,4383,0.1371742112482853,11,1,1
A673623,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown,Spayed Female,positive,1106,1097,1.7857142857142856,9,2,3
A723174,2509 Ashdale Dr in Austin (TX),Wildlife,Sick,Other,Unknown,Raccoon,Brown,Unknown,negative,184,182,2.272727272727273,2,3,3
A798867,13001 Center Lake Drive in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby,Neutered Male,positive,96,91,0.1371742112482853,5,7,7
A552342,5005 Bundyhill in Austin (TX),Stray,Normal,Dog,Spayed Female,Cocker Spaniel,Black,Spayed Female,positive,1726,1723,0.1371742112482853,3,1,1
A633943,11913 Leda Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,Miniature Pinscher Mix,Brown,Neutered Male,positive,1649,1632,0.1371742112482853,17,1,2
A688667,6300 Blk 1327 in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,72,62,0.1371742112482853,10,9,10
A792663,San Chisolm in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky,Red/Buff,Neutered Male,positive,742,730,0.1371742112482853,12,4,4
A726264,Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Cream Tabby,Spayed Female,positive,65,61,0.1371742112482853,4,5,5
A710466,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Siberian Husky Mix,Sable,Spayed Female,positive,1831,1826,0.6369426751592357,5,8,8
A688785,4812 Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,American Bulldog Mix,Brown/White,Intact Male,negative,737,730,0.1371742112482853,7,9,9
A711115,13304 Wright Rd in Travis (TX),Stray,Normal,Dog,Intact Male,Black Mouth Cur/Catahoula,Black Brindle/White,Neutered Male,positive,81,77,0.1371742112482853,4,9,9
A748332,1105 Brookwood in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black Tabby,Neutered Male,positive,81,22,0.1371742112482853,59,5,6
A792617,Austin (TX),Public Assist,Normal,Dog,Intact Male,Jack Russell Terrier Mix,White/Brown,Neutered Male,positive,1236,1095,1.7857142857142856,141,4,8
A698020,Bannock Ln And Rosborogh Dr in Austin (TX),Stray,Sick,Dog,Intact Male,Chihuahua Shorthair/Rat Terrier,White/Black,Neutered Male,positive,315,304,0.1371742112482853,11,3,3
A684488,Austin (TX),Public Assist,Normal,Dog,Neutered Male,Australian Shepherd/Pit Bull,Black Brindle/White,Neutered Male,positive,792,782,1.7857142857142856,10,9,9
A604708,5017 Us 290 in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull Mix,Brown/White,Neutered Male,positive,1898,1896,0.1371742112482853,2,1,1
A679963,7125 Howerington Cir in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Spayed Female,positive,139,36,0.1371742112482853,103,5,9
A772572,Stonelake Boulevard And Capitol Of Texas Highway in Austin (TX),Stray,Normal,Dog,Intact Male,Boxer/Australian Kelpie,Tan/White,Neutered Male,positive,282,273,0.1371742112482853,9,5,5
A706337,4703 Crest Oak in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,positive,183,182,0.1371742112482853,1,6,6
A781316,2101 South Lakeline Boulevard in Cedar Park (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black Tabby,Neutered Male,positive,66,62,0.1371742112482853,4,9,10
A664681,900 Cumberland #B in Austin (TX),Public Assist,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,White/Brown,Intact Female,positive,744,732,1.7857142857142856,12,10,10
A704669,Burns St And Lamar Pl in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,negative,93,92,0.1371742112482853,1,6,6
A669455,Holly St in Austin (TX),Stray,Normal,Dog,Spayed Female,Rat Terrier/Pit Bull,Tricolor,Spayed Female,positive,745,731,0.1371742112482853,14,12,1
A687130,1054 Springdale Blvd. in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Brown/Black,Intact Female,positive,7,7,0.1371742112482853,0,9,9
A773229,13925 Rector Loop in Manor (TX),Stray,Normal,Dog,Intact Female,Anatol Shepherd Mix,Chocolate/White,Intact Female,positive,52,2,0.1371742112482853,50,5,7
A661627,Kramer And Metric Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever/German Shepherd,Chocolate,Neutered Male,positive,260,259,0.1371742112482853,1,1,1
A719577,9315 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,260,245,0.1371742112482853,15,1,2
A460630,2200 Quicksilver in Austin (TX),Stray,Normal,Dog,Spayed Female,Miniature Poodle,White,Spayed Female,positive,3632,3625,0.1371742112482853,7,5,5
A561980,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair,Blue/White,Neutered Male,positive,2506,2505,0.6369426751592357,1,4,4
A752633,815 W Slaughter Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Longhair Mix,Black,Intact Male,negative,48,35,0.1371742112482853,13,6,7
A737113,6934 E Ben White Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,positive,731,731,0.1371742112482853,0,10,10
A779161,2222 And City Park Drive in Austin (TX),Stray,Normal,Dog,Intact Male,American Bulldog Mix,White/Brown Brindle,Neutered Male,positive,87,42,0.1371742112482853,45,8,10
A756208,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,153,122,0.6369426751592357,31,8,9
A764077,1201 Barbara Jordan Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,German Shepherd/Border Collie,Tricolor,Spayed Female,positive,556,548,0.1371742112482853,8,12,12
A664697,9814 Rodriguez Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Border Terrier Mix,White/Tan,Spayed Female,positive,139,122,0.1371742112482853,17,10,10
A717775,6206 Langham in Austin (TX),Stray,Injured,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,1828,1826,0.1371742112482853,2,12,12
A748056,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Miniature Pinscher,Black/Brown,Spayed Female,positive,1461,1461,0.6369426751592357,0,4,4
A733758,609 W Lynn St #1 in Austin (TX),Wildlife,Normal,Other,Unknown,Raccoon Mix,Gray,Unknown,negative,368,366,2.272727272727273,2,8,8
A710678,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Longhair Mix,Tortie,Spayed Female,positive,2975,2922,0.6369426751592357,53,8,10
A711580,14811 Bescott Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,83,38,0.1371742112482853,45,9,10
A747533,1001 Nimbus Dr in Pflugerville (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/Black,Intact Male,positive,15,15,0.1371742112482853,0,4,4
A688498,Picadilly And Grand Ave Pkwy in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier Mix,Silver/Tan,Neutered Male,positive,555,549,0.1371742112482853,6,9,9
A751821,Old Lockhart Hwy And Thaxton Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Longhair Mix,White/Brown,Neutered Male,positive,735,731,0.1371742112482853,4,6,6
A685073,Barton Springs And Sterzing St in Austin (TX),Stray,Normal,Dog,Neutered Male,Dachshund Mix,Tricolor,Neutered Male,positive,3499,3499,0.1371742112482853,0,8,8
A735819,13424 Wagon Way in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,367,366,0.1371742112482853,1,9,9
A598741,3500 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Dog,Spayed Female,Chihuahua Shorthair,Black/Tan,Spayed Female,positive,2070,2068,0.1371742112482853,2,12,12
A680222,4711 Hudson Bend Rd in Austin (TX),Stray,Injured,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,negative,3,3,0.1371742112482853,0,5,5
A806381,2306 West Howard Lane in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky,Black/White,Neutered Male,positive,1101,1095,0.1371742112482853,6,10,10
A764750,1300 Blk 51 Street in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie/White,Spayed Female,positive,129,122,0.1371742112482853,7,1,1
A730086,Montopolis Dr & E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Maltese Mix,White,Neutered Male,positive,370,366,0.1371742112482853,4,6,7
A775000,4211 South Lamar in Austin (TX),Stray,Normal,Dog,Neutered Male,Staffordshire Mix,Brown Brindle/White,Neutered Male,positive,2557,2557,0.1371742112482853,0,6,6
A796898,6200 Loyola Ln in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Longhair Mix,Tan,Spayed Female,positive,152,147,0.1371742112482853,5,6,6
A715029,1156 West Cesar Chavez in Austin (TX),Stray,Normal,Dog,Neutered Male,German Shepherd Mix,Black/Brown,Neutered Male,positive,366,365,0.1371742112482853,1,10,10
A733473,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,White/Black,Neutered Male,positive,94,53,0.1371742112482853,41,8,10
A809137,9301 Hog Eye Lane in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Brown Tabby,Unknown,positive,158,153,0.1371742112482853,5,11,11
A721672,1412 Ransom St in Travis (TX),Stray,Sick,Cat,Unknown,Domestic Medium Hair Mix,Blue,Unknown,negative,1831,1827,0.1371742112482853,4,3,3
A698980,6109 Conti Ct in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,Neutered Male,positive,1505,1461,0.1371742112482853,44,3,5
A776901,5510 S Ih 35 Sr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,63,30,0.1371742112482853,33,7,8
A762331,St Johns And Cameron Road in Austin (TX),Stray,Normal,Dog,Intact Female,Siberian Husky Mix,Tan/White,Intact Female,positive,731,731,0.1371742112482853,0,11,11
A777932,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Black/White,Spayed Female,positive,104,103,0.6369426751592357,1,9,9
A689938,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,280,278,0.1371742112482853,2,10,10
A790837,14014 Thermal Drive in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Tan/Black,Neutered Male,positive,56,52,0.1371742112482853,4,3,3
A725415,6201 Berkman Dr in Austin (TX),Stray,Injured,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,3655,3652,0.1371742112482853,3,4,5
A727218,Bluff Spring Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Beagle,Brown/White,Spayed Female,positive,378,374,0.1371742112482853,4,5,5
A767711,Austin (TX),Wildlife,Sick,Other,Unknown,Bat Mix,Black,Unknown,negative,733,730,2.272727272727273,3,3,3
A708213,20400 Cordill Ln in Travis (TX),Wildlife,Sick,Other,Unknown,Raccoon Mix,Gray,Unknown,negative,365,365,2.272727272727273,0,7,7
A765537,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Longhair Mix,White/Brown Tabby,Neutered Male,positive,1622,1461,0.6369426751592357,161,1,7
A765260,Mansell Avenue And Bolm Road in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd,Black/Brown,Intact Male,positive,942,941,0.1371742112482853,1,12,12
A768701,Highway 71 And Ranch Road 620 in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,737,730,0.1371742112482853,7,3,3
A777104,San Felipe in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,365,365,2.272727272727273,0,7,7
A807967,11404 Walnut Ridge Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Black,Spayed Female,positive,179,168,0.1371742112482853,11,11,11
A711001,Johnny Morris Rd And Hwy 290 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,68,61,0.1371742112482853,7,8,9
A671871,2200 S. Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Tan,Spayed Female,positive,1834,1826,0.1371742112482853,8,1,2
A676723,15411 Ullman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Spayed Female,positive,1691,1461,0.1371742112482853,230,4,11
A806599,2308 East Riverside Drive in Austin (TX),Public Assist,Normal,Dog,Intact Male,German Shepherd,Black/Tan,Intact Male,positive,1096,1095,1.7857142857142856,1,10,10
A774466,Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,87,41,0.1371742112482853,46,6,7
A805204,2104 Cullen Ave in Austin (TX),Stray,Injured,Cat,Neutered Male,Domestic Shorthair,Cream Tabby/White,Neutered Male,positive,2191,2191,0.1371742112482853,0,9,9
A669728,Austin (TX),Owner Surrender,Sick,Cat,Spayed Female,Domestic Longhair Mix,Black,Spayed Female,negative,4749,4748,0.6369426751592357,1,12,12
A788048,2517 Dovemeadow in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Cream,Spayed Female,positive,4103,4018,0.1371742112482853,85,1,4
A785731,5706 Viewpoint Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,128,122,0.1371742112482853,6,12,12
A783561,12151 North Interstate 35 in Austin (TX),Stray,Injured,Other,Unknown,Ferret Mix,Black/White,Unknown,positive,366,365,0.1371742112482853,1,11,11
A623762,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor,Neutered Male,positive,2192,2172,0.6369426751592357,20,3,3
A664872,923 Bodark in Austin (TX),Stray,Sick,Cat,Neutered Male,Domestic Shorthair Mix,Black,Neutered Male,negative,1096,1096,0.1371742112482853,0,10,10
A780754,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,Spayed Female,positive,2392,2389,0.6369426751592357,3,9,9
A690592,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Gray/White,Intact Male,positive,22,21,0.1371742112482853,1,10,10
A773568,3229 Azalea in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Tan,Spayed Female,positive,212,212,0.1371742112482853,0,6,6
A680596,Austin (TX),Public Assist,Normal,Dog,Intact Female,Labrador Retriever/Pit Bull,Brown/White,Intact Female,positive,375,366,1.7857142857142856,9,6,6
A667897,W 30Th/ West Ave in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,246,244,0.1371742112482853,2,11,11
A703583,6403 Tiner Trl in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Lynx Point,Spayed Female,positive,211,30,0.1371742112482853,181,5,11
A799415,1818 Travis Heights Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,Pointer/Great Dane,Black/White,Spayed Female,positive,187,181,0.1371742112482853,6,7,7
A728244,9027 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,84,46,0.1371742112482853,38,6,7
A810109,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Labrador Retriever,Tan/White,Spayed Female,positive,76,73,0.6369426751592357,3,12,12
A772785,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,87,0,0.1371742112482853,87,5,8
A811929,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Staffordshire Mix,Black/White,Spayed Female,positive,1344,1340,0.6369426751592357,4,1,1
A730816,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,118,106,0.6369426751592357,12,7,7
A713039,6405 Jennings Dr in Austin (TX),Stray,Injured,Bird,Unknown,Parrot,Green/Yellow,Unknown,positive,369,365,0.1371742112482853,4,10,10
A687384,Quinton Dr & Fall Meadow Ln in Austin (TX),Stray,Normal,Dog,Intact Female,Papillon/Yorkshire Terrier,Tan/Cream,Spayed Female,positive,369,365,0.1371742112482853,4,9,9
A801996,11805 Bastrop St in Manor (TX),Public Assist,Behavior,Dog,Neutered Male,Pointer/Pit Bull,White/Tan,Neutered Male,positive,643,597,1.7857142857142856,46,10,11
A782393,1120 Spur Street in Austin (TX),Stray,Injured,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,negative,38,37,0.1371742112482853,1,10,10
A774166,5001 Delta Post Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Calico,Intact Female,positive,31,31,0.1371742112482853,0,6,6
A780668,1604 Fortview Road in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,104,55,0.1371742112482853,49,9,11
A670943,124 W Anderson Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,Spayed Female,positive,735,731,0.1371742112482853,4,1,1
A755933,1628 Ohlen Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Wire Hair Fox Terrier Mix,Tan/White,Neutered Male,positive,732,731,0.1371742112482853,1,8,8
A700782,Dessau Rd & E Rundberg Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,White,Neutered Male,positive,372,365,0.1371742112482853,7,4,4
A726146,Yager & Techridge/Copperfield in Austin (TX),Stray,Sick,Dog,Intact Male,German Shepherd Mix,Black,Neutered Male,positive,732,731,0.1371742112482853,1,5,5
A729630,Redbud Ln And Travis Dr in Jonestown (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,negative,43,38,0.1371742112482853,5,6,6
A772443,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Rhod Ridgeback Mix,Brown,Neutered Male,positive,1889,1826,0.6369426751592357,63,5,7
A683733,1700 Burton Dr #401 in Austin (TX),Public Assist,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Intact Female,positive,32,21,1.7857142857142856,11,7,7
A704130,Austin (TX),Euthanasia Request,Sick,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,negative,4748,4748,50.0,0,6,6
A751591,183 And Oak Knoll in Austin (TX),Stray,Normal,Dog,Intact Male,Dachshund Longhair Mix,Tricolor,Neutered Male,positive,735,731,0.1371742112482853,4,6,6
A797835,Branchwood And Lakehurst in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby/White,Neutered Male,positive,88,76,0.1371742112482853,12,6,6
A700123,5338 Thunder Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby/White,Spayed Female,positive,73,42,0.1371742112482853,31,4,5
A754425,2001 Faro Dr in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Black,Unknown,negative,365,365,2.272727272727273,0,7,7
A713709,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,Greyhound/Labrador Retriever,Black,Spayed Female,positive,4107,4017,0.6369426751592357,90,10,1
A714526,13300 William Harrison in Travis (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,201,183,0.1371742112482853,18,10,11
A722194,2005 Bouldin in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Lynx Point,Spayed Female,positive,76,15,0.1371742112482853,61,3,5
A802476,7330 Bluff Springs Road in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby/White,Intact Male,positive,369,365,0.1371742112482853,4,8,8
A763292,5200 E William Cannon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,American Staffordshire Terrier Mix,Black/White,Neutered Male,positive,403,365,0.1371742112482853,38,12,1
A782931,13309 Slow Poke Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,366,365,0.1371742112482853,1,10,10
A701021,E Stassney Ln And Palo Blanco Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Miniature Poodle Mix,White,Neutered Male,positive,1101,1095,0.1371742112482853,6,4,4
A758273,10 Love Grass in Sunset Valley (TX),Public Assist,Normal,Dog,Neutered Male,Labrador Retriever Mix,Tan/White,Neutered Male,positive,2568,2557,1.7857142857142856,11,9,9
A688037,620/Vista Ridge in Travis (TX),Stray,Normal,Dog,Intact Male,Siberian Husky/Australian Cattle Dog,Brown/White,Neutered Male,positive,219,212,0.1371742112482853,7,9,9
A665292,North Ec Research Blvd in Austin (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Cream,Intact Male,positive,0,0,0.1371742112482853,0,10,10
A717930,10404 Premier Park St in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black,Neutered Male,positive,285,275,0.1371742112482853,10,12,12
A736908,Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black,Neutered Male,positive,81,36,0.1371742112482853,45,10,12
A684513,8305 Steamline Cir in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,72,46,0.1371742112482853,26,7,8
A727289,8105 Linden Rd in Del Valle (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown/Tan,Neutered Male,positive,156,152,0.1371742112482853,4,5,5
A717601,2510 Lehigh Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,734,730,0.1371742112482853,4,12,12
A708374,401 Little Texas Ln in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,184,181,2.272727272727273,3,7,7
A692868,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Pit Bull/Australian Cattle Dog,Tricolor,Intact Female,positive,325,306,0.6369426751592357,19,1,2
A680505,9322 Fm 812 in Travis (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,White/Brown,Spayed Female,positive,1220,1096,0.1371742112482853,124,6,10
A713893,5055 Hwy 71 E in Del Valle (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,118,48,0.1371742112482853,70,10,12
A744053,Buck Ln And E Hwy 71 in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,positive,1466,1461,0.1371742112482853,5,2,2
A780659,7401 Ferndale Circle in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,393,365,0.1371742112482853,28,9,10
A751019,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,Rabbit Sh Mix,Black,Intact Female,positive,106,15,0.1371742112482853,91,6,9
A672897,3204 Manchaca in Austin (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,White/Tan,Intact Female,positive,124,123,0.1371742112482853,1,2,2
A670285,4800 Copperbend Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Red,Intact Male,negative,737,731,0.1371742112482853,6,1,1
A748637,4414 Barrow in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,733,731,0.1371742112482853,2,5,5
A802481,Travis (TX),Owner Surrender,Normal,Cat,Neutered Male,Ragdoll/Munchkin Longhair,White/Orange,Neutered Male,positive,552,546,0.6369426751592357,6,8,8
